iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,quality,sn,hk_prevalence,asc_prevalence,tt_prevalence,sth_prevalence
MRT,MR,3227.0,31067.0,31067.0,agargar,13505.0,-10.36677778,16.15180556,3,,,2015,,,109,2,,,109,2,,,109,0,,,1,9547,0.01834862385321101,0.01834862385321101,0.0,0.0343024299142598
MRT,MR,3221.0,31043.0,31043.0,aghmamine   ecole aghmamine,13438.0,-11.5499999,15.8666667,3,,,2015,,,50,1,,,50,1,,,50,0,,,1,9501,0.02,0.02,0.0,0.03735849056603773
MRT,MR,3228.0,31068.0,31068.0,akjoujt ville   ecole 1,13373.0,-14.3883752,19.7461659,1,,,2015,,,50,3,,,50,1,,,50,0,,,1,9551,0.06,0.02,0.0,0.07433962264150942
MRT,MR,3228.0,31068.0,31068.0,akjoujt ville   ecole 4,13374.0,-14.3856927,19.7503366,1,,,2015,,,26,0,,,26,0,,,26,0,,,1,9550,0.0,0.0,0.0,0.0
MRT,MR,3228.0,31068.0,31068.0,akjoujt ville   ecole 5,13375.0,-14.3879205,19.7461122,1,,,2015,,,49,2,,,49,0,,,49,0,,,1,9548,0.04081632653061224,0.0,0.0,0.03850596842510588
MRT,MR,3228.0,31068.0,31068.0,akjoujt ville   ecole 8,13376.0,-14.3879205,19.7461122,1,,,2015,,,47,1,,,47,0,,,47,0,,,1,9549,0.02127659574468085,0.0,0.0,0.020072260136491365
MRT,MR,3220.0,31036.0,31036.0,amdeir,13391.0,-13.02989166,20.50180833,3,,,2015,,,49,3,,,49,0,,,49,0,,,1,9479,0.061224489795918366,0.0,0.0,0.05775895263765883
MRT,MR,3220.0,31035.0,31035.0,aoujeft   ecole 1,13384.0,-13.0594443,19.9622222,3,,,2015,,,51,4,,,51,0,,,51,0,,,1,9471,0.0784313725490196,0.0,0.0,0.0739918608953015
MRT,MR,3220.0,31035.0,31035.0,aoujeft   ecole 2,13385.0,-13.0594443,19.9622222,3,,,2015,,,48,0,,,48,0,,,48,0,,,1,9475,0.0,0.0,0.0,0.0
MRT,MR,3220.0,31035.0,31035.0,aoujeft   ecole 3,13386.0,-13.0594443,19.9622222,3,,,2015,,,50,0,,,50,0,,,50,0,,,1,9476,0.0,0.0,0.0,0.0
