iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,asc_examined,asc_positive,tt_examined,tt_positive,quality,sn,hk_prevalence,asc_prevalence,tt_prevalence,sth_prevalence
NER,NE,3668.0,35298.0,35298.0,abadam,,13.2648576,13.6181979,1,,mapping,2014.0,8.0,12.0,50,0,50,0,50,0,1,27297,0.0,0.0,0.0,0.0
NER,NE,3668.0,35299.0,35299.0,adamdi,55657.0,11.988,13.384,3,,,2004.0,,,60,0,60,0,60,0,2,10104,0.0,0.0,0.0,0.0
NER,NE,3673.0,35330.0,35330.0,aderbissa,55721.0,1.4833,14.1833,3,,,2004.0,,,53,0,53,0,53,0,2,10243,0.0,0.0,0.0,0.0
NER,NE,3667.0,35297.0,35297.0,aderbissanat,,7.8912099,15.6195898,1,,mapping,2005.0,10.0,12.0,60,0,60,0,60,0,2,27284,0.0,0.0,0.0,0.0
NER,NE,3667.0,35297.0,35297.0,aderbissanat,13809.0,7.8912099,15.6195898,1,,,2006.0,,,60,0,60,0,60,0,1,10089,0.0,0.0,0.0,0.0
NER,NE,3667.0,35295.0,35295.0,akokan,,7.3381532,18.7085539,1,,mapping,2014.0,8.0,15.0,50,0,50,0,50,0,1,27270,0.0,0.0,0.0,0.0
NER,NE,3674.0,35331.0,35331.0,aladjiri,55625.0,10.618,13.797,3,,,2004.0,,,47,2,47,0,47,0,2,10248,0.0425531914893617,0.0,0.0,0.04014452027298273
NER,NE,3669.0,35303.0,35303.0,alamba,55603.0,4.414,13.724,3,,,2004.0,,,21,0,21,0,21,0,2,10120,0.0,0.0,0.0,0.0
NER,NE,3673.0,35326.0,35326.0,alkamaram,55636.0,2.2474999,13.3597,3,,,2004.0,,,60,0,60,0,60,0,2,10223,0.0,0.0,0.0,0.0
NER,NE,3668.0,35298.0,35298.0,almawadan,55595.0,12.964,13.522,3,,,2004.0,,,51,0,51,0,51,0,2,10102,0.0,0.0,0.0,0.0
NER,NE,3669.0,35303.0,35303.0,amataltal,55604.0,4.2550001,13.529,3,,,2004.0,,,60,0,60,0,60,0,2,10121,0.0,0.0,0.0,0.0
NER,NE,3667.0,35297.0,35297.0,amataltal,,7.0222741,15.9894329,3,,mapping,2005.0,3.0,15.0,51,0,51,0,51,0,2,27286,0.0,0.0,0.0,0.0
NER,NE,3667.0,35297.0,35297.0,amataltal,13810.0,7.0222741,15.9894329,3,,,2006.0,,,52,0,52,0,52,0,1,10090,0.0,0.0,0.0,0.0
NER,NE,3672.0,35319.0,35319.0,ambagouna,13755.0,4.6666667,14.3333333,3,,,2006.0,,,60,0,60,0,60,0,1,10187,0.0,0.0,0.0,0.0
NER,NE,3668.0,35299.0,35299.0,ambagoura,55658.0,11.091,13.635,3,,,2004.0,,,60,0,60,0,60,0,2,10113,0.0,0.0,0.0,0.0
NER,NE,3667.0,35296.0,35296.0,aneye,,12.90916,19.3864899,1,,mapping,2013.0,7.0,14.0,50,0,50,0,50,0,1,27280,0.0,0.0,0.0,0.0
NER,NE,3673.0,35327.0,35327.0,angoal ay,55679.0,2.5250000999999997,14.293,3,,,2004.0,,,33,0,33,0,33,0,2,10235,0.0,0.0,0.0,0.0
NER,NE,3674.0,35332.0,35332.0,angoal aya,,9.51001,12.89653,3,,mapping,2005.0,7.0,13.0,60,0,60,0,60,0,2,27562,0.0,0.0,0.0,0.0
NER,NE,3674.0,35332.0,35332.0,angoal aya,13766.0,9.51001,12.89653,3,,,2006.0,,,60,0,60,0,60,0,1,10261,0.0,0.0,0.0,0.0
NER,NE,3667.0,35297.0,35297.0,aouderas,,8.408534,17.633881,1,,mapping,2013.0,7.0,14.0,50,0,50,0,50,0,1,27287,0.0,0.0,0.0,0.0
NER,NE,3672.0,35321.0,35321.0,arewa,,5.88472,14.04421,3,,sentinel site,2018.0,7.0,11.0,54,0,54,2,54,0,1,27456,0.0,0.037037037037037035,0.0,0.034940600978336823
NER,NE,3673.0,35325.0,35325.0,argorom,55608.0,3.576,14.918,3,,,2004.0,,,60,4,60,0,60,0,2,10203,0.06666666666666667,0.0,0.0,0.06289308176100628
NER,NE,3668.0,35299.0,35299.0,arlit,55659.0,7.3894772,18.7390029,1,,,2004.0,,,49,2,49,0,49,0,2,10114,0.04081632653061224,0.0,0.0,0.03850596842510588
NER,NE,3667.0,35295.0,35295.0,arlit publique,13725.0,7.3894772,18.7390029,1,,,2006.0,,,60,0,60,0,60,0,1,10072,0.0,0.0,0.0,0.0
NER,NE,3668.0,35299.0,35299.0,babawa,,12.2423743,13.5976892,3,,mapping,2005.0,5.0,13.0,49,2,49,0,49,0,2,27324,0.04081632653061224,0.0,0.0,0.03850596842510588
NER,NE,3668.0,35299.0,35299.0,babawa,13774.0,12.2423743,13.5976892,3,,,2006.0,,,50,2,50,0,50,0,1,10109,0.04,0.0,0.0,0.03773584905660377
NER,NE,3674.0,35334.0,35334.0,babawa,55673.0,9.4689999,13.671,3,,,2004.0,,,59,1,59,0,59,0,2,10269,0.01694915254237288,0.0,0.0,0.015989766549408375
NER,NE,3669.0,35304.0,35304.0,bana,,3.552337,12.049866,1,,mapping,2012.0,7.0,12.0,50,0,50,0,50,0,1,27365,0.0,0.0,0.0,0.0
NER,NE,3667.0,35297.0,35297.0,bana,55702.0,7.986535,16.9741689,1,,,2004.0,,,60,0,60,1,60,0,2,10087,0.0,0.016666666666666666,0.0,0.01572327044025157
NER,NE,3673.0,35326.0,35326.0,bangou koirey,,1.89446,13.6014,3,,sentinel site,2011.0,7.0,8.0,99,0,99,0,99,0,1,27479,0.0,0.0,0.0,0.0
NER,NE,3673.0,35326.0,35326.0,bangoukoirey,,1.89446,13.6014,3,,sentinel site,2013.0,9.0,10.0,0,0,94,0,94,0,1,27480,,0.0,0.0,
