"iso3","iso2","admin1_id","admin2_id","iu_id","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence","shortest","id","src","dst","identifier"
"MRT","MR",3227.0,31067.0,31067.0,13505.0,-10.36677778,16.15180556,3,"","",2015.0,"","",109,2,109,2,109,0,1,9547,0.01834862385321101,0.01834862385321101,0.0,0.0343024299142598,6.439073002431542,2,2,2,2
"MRT","MR",3227.0,31067.0,31067.0,13506.0,-10.36677778,16.15175,3,"","",2015.0,"","",0,0,0,0,0,0,1,9545,"","","","",6.439073002431542,3,3,3,3
"MRT","MR",3221.0,31043.0,31043.0,13438.0,-11.5499999,15.8666667,3,"","",2015.0,"","",50,1,50,1,50,0,1,9501,0.02,0.02,0.0,0.03735849056603773,7440.7786111369805,4,4,4,4
"MRT","MR",3221.0,31043.0,31043.0,13439.0,-11.52701,15.92703,1,"","",2015.0,"","",0,0,0,0,0,0,1,9497,"","","","",330.6188876563683,5,5,5,5
"MRT","MR",3228.0,31068.0,31068.0,13373.0,-14.3883752,19.7461659,1,"","",2015.0,"","",50,3,50,1,50,0,1,9551,0.06,0.02,0.0,0.07433962264150942,51.01389216733759,7,7,7,7
"MRT","MR",3228.0,31068.0,31068.0,13374.0,-14.3856927,19.7503366,1,"","",2015.0,"","",26,0,26,0,26,0,1,9550,0.0,0.0,0.0,0.0,557.8053295133187,8,8,8,8
"MRT","MR",3228.0,31068.0,31068.0,13378.0,-14.38319444,19.74536111,3,"","",2015.0,"","",0,0,0,0,0,0,1,9554,"","","","",533.5498784782646,11,11,11,9
"MRT","MR",3220.0,31036.0,31036.0,13391.0,-13.02989166,20.50180833,3,"","",2015.0,"","",49,3,49,0,49,0,1,9479,0.061224489795918366,0.0,0.0,0.05775895263765883,1355.5422728830947,12,12,12,10
"MRT","MR",3228.0,31068.0,31068.0,13379.0,-14.37513889,19.74536111,3,"","",2015.0,"","",50,3,50,2,50,0,1,9552,0.06,0.04,0.0,0.0920754716981132,896.739724059822,17,17,17,12
"MRT","MR",3223.0,31051.0,31051.0,13468.0,-17.03855556,20.94055556,3,"","",2015.0,"","",52,3,52,1,52,0,1,9510,0.057692307692307696,0.019230769230769232,0.0,0.07152227308250529,1577.930579486735,20,20,20,14
"MRT","MR",3221.0,31044.0,31044.0,13448.0,-12.03712963,16.61425,3,"","",2015.0,"","",0,0,0,0,0,0,1,9507,"","","","",8477.169989776872,27,27,27,18
"MRT","MR",3221.0,31044.0,31044.0,13447.0,-11.9725,16.55941667,3,"","",2015.0,"","",116,0,116,2,116,0,1,9506,0.0,0.017241379310344827,0.0,0.01626545217957059,9608.648099300572,28,28,28,19
"MRT","MR",3223.0,31051.0,31051.0,13469.0,-16.4999999,21.2666667,3,"","",2015.0,"","",48,2,48,1,48,0,1,9511,0.041666666666666664,0.020833333333333332,0.0,0.05814334381551362,66869.2079131951,29,29,29,20
"MRT","MR",3223.0,31051.0,31051.0,13470.0,-17.0347509,20.8518138,1,"","",2015.0,"","",35,2,35,0,35,0,1,9512,0.05714285714285714,0.0,0.0,0.053908355795148244,9331.07741382541,31,31,31,22
"MRT","MR",3220.0,31037.0,31037.0,13417.0,-12.3664341,20.4615121,1,"","",2015.0,"","",0,0,0,0,0,0,1,9481,"","","","",1102.0484758029077,35,35,35,24
"MRT","MR","","",24880.0,"",-15.9,16.516701,4,"","",1994.0,5.0,14.0,96,0,96,9,96,11,3,30602,0.0,0.09375,0.11458333333333333,0.18640674135220123,10841.263017390114,46,46,46,27
