iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,quality,sn
RWA,RW,3913,38118,38118,apapec irebero,,30.07377,-1.920906,3,,mapping,2014,8.0,18.0,50,0,0.0,0.0,50,0,0.0,0.0,50,0,0.0,0.0,1,22619
RWA,RW,3913,38120,38120,ape rugunga,56568.0,30.0714885,-1.95716,1,,,2008,,,50,0,,,50,0,,,50,4,,,1,13252
RWA,RW,3913,38120,38120,ape rugunga,16119.0,30.0714885,-1.95716,1,,,2007,,,0,0,,,50,0,,,0,0,,,1,13255
RWA,RW,3916,38139,38139,apefe mweya,,29.2559,-1.69784,3,,mapping,2014,8.0,18.0,45,0,0.0,0.0,45,4,0.0,0.044,45,12,0.0,0.022,1,22742
RWA,RW,3916,38137,38137,bigogwe,56549.0,29.4209845,-1.6284478,1,,,2008,,,57,2,,,57,52,,,57,50,,,1,13374
RWA,RW,3916,38137,38137,bigogwe,16103.0,29.4209845,-1.6284478,1,,,2008,,,0,0,,,57,0,,,0,0,,,1,13379
RWA,RW,3916,38134,38134,bigugu,56517.0,29.2569444,-2.4344444,1,,,2008,,,55,1,,,55,13,,,55,8,,,1,13363
RWA,RW,3916,38134,38134,bigugu,16064.0,29.2569444,-2.4344444,1,,,2007,,,0,0,,,55,0,,,0,0,,,1,13354
RWA,RW,3916,38138,38138,bigutu,56558.0,28.98636,-2.49244,3,,,2008,,,62,17,,,62,30,,,62,36,,,1,13391
RWA,RW,3916,38138,38138,bigutu,16115.0,28.98636,-2.49244,3,,,2008,,,0,0,,,62,0,,,0,0,,,1,13387
RWA,RW,3914,38121,38121,birwa i,,29.71921,-1.461381,3,,mapping,2014,8.0,18.0,50,0,0.0,0.0,50,34,0.0,0.06,50,27,0.0,0.02,1,22601
RWA,RW,3914,38121,38121,birwa ii,,29.72916,-1.420057,3,,mapping,2014,8.0,18.0,47,0,0.0,0.0,47,33,0.0,0.106,47,26,0.0,0.021,1,22602
RWA,RW,3915,38133,38133,bisika,56580.0,29.79088,-1.5963889,1,,,2008,,,60,23,,,60,25,,,60,3,,,1,13348
