"iso3","iso2","admin1_id","admin2_id","iu_id","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence","shortest","id","src","dst"
"BFA","BF",599.0,5367.0,5367.0,50088.0,-0.8603645,14.2293346,1,"","",2004.0,"","",35,1,35,0,35,1,2,2369,0.0285714285714285,0.0,0.0285714285714285,0.0531382364266461,49140.27598900518,0,0,0
"BFA","BF",594.0,5345.0,5345.0,50139.0,-1.57722,11.97306,3,"","",1999.0,"","",35,0,35,15,0,0,3,2330,0.0,0.4285714285714285,"","",5529.051003926636,1,1,1
"BFA","BF",594.0,5345.0,5345.0,10157.0,-0.96667,11.18333,1,"","",2013.0,"","",160,1,160,2,0,0,1,18708,0.00625,0.0125,"","",16317.047218086078,2,2,2
"BFA","BF",594.0,5345.0,5345.0,50140.0,-1.49278,12.04528,3,"","",1997.0,"","",38,27,38,0,0,0,3,2335,0.7105263157894737,0.0,"","",2958.4535993558884,3,3,3
"BFA","BF",599.0,5370.0,5370.0,50160.0,0.7535820999999999,13.2250153,1,"","",2004.0,"","",60,3,60,0,60,0,2,2377,0.05,0.0,0.0,0.0471698113207547,56041.00282128298,4,4,4
"BFA","BF",600.0,5371.0,5371.0,50064.0,-2.8834,9.8188,3,"","",2004.0,"","",60,9,60,0,60,0,2,2378,0.15,0.0,0.0,0.1415094339622641,40183.99789729338,5,5,5
"BFA","BF",600.0,5374.0,5374.0,50102.0,-2.9489,10.1684,3,"","",2004.0,"","",64,5,64,0,64,2,2,2381,0.078125,0.0,0.03125,0.1008807488207547,40183.99789729338,6,6,6
"BFA","BF",593.0,5337.0,5337.0,10151.0,-2.3812334,12.2180042,2,"","",2013.0,"","",160,2,160,0,0,0,1,2390,0.0125,0.0,"","",17004.334254917376,7,7,7
"BFA","BF",596.0,5355.0,5355.0,50109.0,-3.6876803,11.6207692,1,"","",2004.0,"","",60,0,60,0,60,0,2,2357,0.0,0.0,0.0,0.0,27458.233824344545,8,8,8
"BFA","BF",594.0,5342.0,5342.0,50114.0,-1.3,12.06667,3,"","",1997.0,"","",36,30,36,0,0,0,3,2312,0.8333333333333334,0.0,"","",15137.222475943934,9,9,9
"BFA","BF",596.0,5352.0,5352.0,"",-4.293,11.181,3,"","",1980.0,1.0,99.0,265,61,265,3,265,1,3,28653,0.230188679245283,0.0113207547169811,0.0037735849056603,0.2280901759981425,24567.192827261348,10,10,10
"BFA","BF",588.0,5312.0,5312.0,50070.0,-3.4318022,11.760385,1,"","",2004.0,"","",58,25,58,1,58,3,2,2278,0.4310344827586206,0.0172413793103448,0.0517241379310344,0.4431755500662609,32607.446460982563,11,11,11
"BFA","BF",594.0,5345.0,5345.0,50141.0,-1.47444,12.09056,3,"","",1997.0,"","",39,16,39,0,0,0,3,2329,0.4102564102564102,0.0,"","",2594.889029579504,12,12,12
"BFA","BF",595.0,5351.0,5351.0,50134.0,0.60610002,11.0313,3,"","",2004.0,"","",58,2,58,0,58,0,2,2350,0.0344827586206896,0.0,0.0,0.0325309043591411,27036.956038203574,13,13,13
"BFA","BF",591.0,5329.0,5329.0,50132.0,0.3223896,12.1427273,1,"","",2004.0,"","",61,3,61,0,61,0,2,2296,0.0491803278688524,0.0,0.0,0.0463965357253325,8863.815440220269,14,14,14
"BFA","BF",599.0,5368.0,5368.0,50095.0,0.085299999,14.0315,3,"","",2004.0,"","",66,1,66,0,66,0,2,2372,0.0151515151515151,0.0,0.0,0.0142938822184105,5261.721234154801,15,15,15
"BFA","BF",593.0,5337.0,5337.0,50118.0,-2.401,12.366,3,"","",1997.0,"","",40,0,40,19,0,0,3,2304,0.0,0.475,"","",17004.334254917376,16,16,16
"BFA","BF",594.0,5344.0,5344.0,50136.0,-0.9332,11.0433,3,"","",2004.0,"","",61,0,61,0,61,0,2,2316,0.0,0.0,0.0,0.0,16317.047218086078,17,17,17
"BFA","BF",594.0,5343.0,5343.0,50122.0,-0.69910002,11.4258,3,"","",2004.0,"","",59,0,59,0,59,0,2,2315,0.0,0.0,0.0,0.0,8084.044072088191,18,18,18
"BFA","BF",593.0,5338.0,5338.0,"",-2.25,11.75,3,"","mapping",2015.0,8.0,14.0,187,2,0,0,0,0,1,29530,0.0106951871657754,"","","",24937.874569637563,19,19,19
"BFA","BF",588.0,5312.0,5312.0,50071.0,-2.7356,11.4782,3,"","",2004.0,"","",61,8,61,1,61,2,2,2279,0.1311475409836065,0.0163934426229508,0.0327868852459016,0.1635952739124619,24186.375626204568,20,20,20
"BFA","BF",595.0,5346.0,5346.0,50066.0,0.1596,13.1771,3,"","",2004.0,"","",61,0,61,0,61,0,2,2337,0.0,0.0,0.0,0.0,39415.88983477235,21,21,21
"BFA","BF",592.0,5334.0,5334.0,50072.0,-0.42680001,12.5269,3,"","",2004.0,"","",61,0,61,0,61,0,2,2301,0.0,0.0,0.0,0.0,11915.683835524997,22,22,22
"BFA","BF",592.0,5335.0,5335.0,"",-1.168,13.117,3,"","",1980.0,1.0,65.0,690,64,0,0,0,0,3,29995,0.0927536231884058,"","","",3317.637553184651,23,23,23
"BFA","BF",593.0,5337.0,5337.0,50119.0,-1.8246,12.2519,3,"","",2004.0,"","",60,0,60,0,60,0,2,2305,0.0,0.0,0.0,0.0,19778.445060619953,24,24,24
"BFA","BF",594.0,5345.0,5345.0,50142.0,-1.50194,12.09972,3,"","",1997.0,"","",38,21,38,0,0,0,3,2328,0.5526315789473685,0.0,"","",3234.0346029998777,25,25,25
"BFA","BF",592.0,5335.0,5335.0,50113.0,-1.1668,13.146,3,"","",2004.0,"","",59,0,59,0,59,0,2,2302,0.0,0.0,0.0,0.0,3317.637553184651,26,26,26
"BFA","BF",589.0,5319.0,5319.0,50123.0,-4.4555998,10.39,3,"","",2004.0,"","",59,3,59,0,59,0,2,2292,0.0508474576271186,0.0,0.0,0.0479692996482251,39548.141642131195,27,27,27
